record_id,sos_message,urgency_level,temperature_c,gas_ppm,humidity_percent,flood_sensor_level_cm,drone_image_label
39,"Trapped under collapsed building, need urgent rescue",Medium,31.3,24,34,0,Collapsed_Building
40,"Trapped under collapsed building, need urgent rescue",High,45.7,91,59,0,Collapsed_Building
41,"Trapped under collapsed building, need urgent rescue",High,46.6,98,73,0,Collapsed_Building
42,"Trapped under collapsed building, need urgent rescue",Medium,30.4,68,88,0,Collapsed_Building
43,"Trapped under collapsed building, need urgent rescue",Medium,37.8,112,37,0,Collapsed_Building
44,"Trapped under collapsed building, need urgent rescue",Low,40.9,178,48,0,Collapsed_Building
45,"Trapped under collapsed building, need urgent rescue",High,30.0,133,37,0,Collapsed_Building
46,"Trapped under collapsed building, need urgent rescue",High,29.6,111,72,0,Collapsed_Building
47,"Trapped under collapsed building, need urgent rescue",High,49.1,166,17,0,Collapsed_Building
48,"Trapped under collapsed building, need urgent rescue",Medium,45.9,85,28,0,Collapsed_Building
49,"Trapped under collapsed building, need urgent rescue",Low,48.9,132,48,0,Collapsed_Building
50,"Trapped under collapsed building, need urgent rescue",High,32.2,169,38,0,Collapsed_Building
51,"Trapped under collapsed building, need urgent rescue",High,38.9,43,58,0,Collapsed_Building
52,"Trapped under collapsed building, need urgent rescue",Low,31.5,26,64,0,Collapsed_Building
53,"Trapped under collapsed building, need urgent rescue",High,27.2,176,24,0,Collapsed_Building
54,"Trapped under collapsed building, need urgent rescue",High,22.8,89,49,0,Collapsed_Building
55,"Trapped under collapsed building, need urgent rescue",Medium,31.2,174,41,0,Collapsed_Building
56,"Trapped under collapsed building, need urgent rescue",High,45.2,198,85,0,Collapsed_Building
57,"Trapped under collapsed building, need urgent rescue",High,31.6,137,47,0,Collapsed_Building
58,"Trapped under collapsed building, need urgent rescue",High,28.9,179,62,0,Collapsed_Building
59,"Trapped under collapsed building, need urgent rescue",Medium,30.5,25,42,0,Collapsed_Building
60,"Trapped under collapsed building, need urgent rescue",High,23.1,142,32,0,Collapsed_Building
61,"Trapped under collapsed building, need urgent rescue",High,36.5,199,65,0,Collapsed_Building
62,"Trapped under collapsed building, need urgent rescue",Medium,35.1,178,40,0,Collapsed_Building
63,"Trapped under collapsed building, need urgent rescue",High,48.9,8,48,0,Collapsed_Building
64,"Trapped under collapsed building, need urgent rescue",Medium,37.3,151,36,0,Collapsed_Building
65,"Trapped under collapsed building, need urgent rescue",Medium,21.8,158,45,0,Collapsed_Building
66,"Trapped under collapsed building, need urgent rescue",Medium,33.8,32,52,0,Collapsed_Building
67,"Trapped under collapsed building, need urgent rescue",High,31.7,177,35,0,Collapsed_Building
68,"Trapped under collapsed building, need urgent rescue",High,45.5,97,41,0,Collapsed_Building
69,"Trapped under collapsed building, need urgent rescue",High,48.4,56,53,0,Collapsed_Building
70,"Trapped under collapsed building, need urgent rescue",High,33.8,78,54,0,Collapsed_Building
71,"Trapped under collapsed building, need urgent rescue",High,34.9,198,67,0,Collapsed_Building
72,"Trapped under collapsed building, need urgent rescue",Low,42.8,125,37,0,Collapsed_Building
73,"Trapped under collapsed building, need urgent rescue",Low,39.2,0,47,0,Collapsed_Building
74,"Trapped under collapsed building, need urgent rescue",High,31.2,161,83,0,Collapsed_Building
75,"Trapped under collapsed building, need urgent rescue",Medium,34.9,78,46,0,Collapsed_Building
76,"Trapped under collapsed building, need urgent rescue",Medium,28.2,154,31,0,Collapsed_Building
77,"Trapped under collapsed building, need urgent rescue",Low,47.0,20,91,0,Collapsed_Building
78,"Trapped under collapsed building, need urgent rescue",High,44.1,11,87,0,Collapsed_Building
79,"Trapped under collapsed building, need urgent rescue",Low,43.3,151,59,0,Collapsed_Building
80,"Trapped under collapsed building, need urgent rescue",High,46.9,8,94,0,Collapsed_Building
81,"Trapped under collapsed building, need urgent rescue",Medium,42.8,94,63,0,Collapsed_Building
82,"Trapped under collapsed building, need urgent rescue",Low,24.7,160,32,0,Collapsed_Building
83,"Trapped under collapsed building, need urgent rescue",Medium,31.8,15,58,0,Collapsed_Building
84,"Trapped under collapsed building, need urgent rescue",Medium,22.4,195,86,0,Collapsed_Building
85,"Trapped under collapsed building, need urgent rescue",High,23.3,194,84,0,Collapsed_Building
86,"Trapped under collapsed building, need urgent rescue",Medium,46.1,3,66,0,Collapsed_Building
87,"Trapped under collapsed building, need urgent rescue",Low,35.4,53,41,0,Collapsed_Building
88,"Trapped under collapsed building, need urgent rescue",Medium,30.6,138,61,0,Collapsed_Building
89,"Trapped under collapsed building, need urgent rescue",Medium,42.9,100,24,0,Collapsed_Building
90,"Trapped under collapsed building, need urgent rescue",High,37.5,50,71,0,Collapsed_Building
91,"Trapped under collapsed building, need urgent rescue",Low,28.2,167,12,0,Collapsed_Building
92,"Trapped under collapsed building, need urgent rescue",High,43.1,106,93,0,Collapsed_Building
93,"Trapped under collapsed building, need urgent rescue",Low,29.1,134,75,0,Collapsed_Building
94,"Trapped under collapsed building, need urgent rescue",High,40.2,61,89,0,Collapsed_Building
95,"Trapped under collapsed building, need urgent rescue",High,36.9,118,36,0,Collapsed_Building
96,"Trapped under collapsed building, need urgent rescue",High,48.6,39,14,0,Collapsed_Building
97,"Trapped under collapsed building, need urgent rescue",Medium,46.7,80,88,0,Collapsed_Building
98,"Trapped under collapsed building, need urgent rescue",High,44.1,39,61,0,Collapsed_Building
99,"Trapped under collapsed building, need urgent rescue",High,32.3,36,41,0,Collapsed_Building
100,"Trapped under collapsed building, need urgent rescue",Medium,20.4,185,62,0,Collapsed_Building
101,"Trapped under collapsed building, need urgent rescue",High,42.9,170,79,0,Collapsed_Building
102,"Trapped under collapsed building, need urgent rescue",High,20.8,119,80,0,Collapsed_Building
103,"Trapped under collapsed building, need urgent rescue",High,36.6,177,48,0,Collapsed_Building
104,"Trapped under collapsed building, need urgent rescue",Medium,32.2,17,32,0,Collapsed_Building
105,"Trapped under collapsed building, need urgent rescue",Medium,40.9,65,28,0,Collapsed_Building
106,"Trapped under collapsed building, need urgent rescue",High,25.8,83,64,0,Collapsed_Building
107,"Trapped under collapsed building, need urgent rescue",High,29.4,18,26,0,Collapsed_Building
108,"Trapped under collapsed building, need urgent rescue",Medium,23.1,98,93,0,Collapsed_Building
109,"Trapped under collapsed building, need urgent rescue",High,47.2,55,29,0,Collapsed_Building
110,"Trapped under collapsed building, need urgent rescue",High,26.9,55,77,0,Collapsed_Building
111,"Trapped under collapsed building, need urgent rescue",Low,22.6,171,93,0,Collapsed_Building
112,"Trapped under collapsed building, need urgent rescue",High,41.7,194,57,0,Collapsed_Building
113,"Trapped under collapsed building, need urgent rescue",Medium,35.0,34,85,0,Collapsed_Building
114,"Trapped under collapsed building, need urgent rescue",High,47.3,29,95,0,Collapsed_Building
115,"Trapped under collapsed building, need urgent rescue",High,25.2,152,32,0,Collapsed_Building
116,"Trapped under collapsed building, need urgent rescue",Low,34.1,36,63,0,Collapsed_Building
117,"Trapped under collapsed building, need urgent rescue",High,22.0,124,21,0,Collapsed_Building
118,"Trapped under collapsed building, need urgent rescue",High,41.4,33,86,0,Collapsed_Building
119,"Trapped under collapsed building, need urgent rescue",High,27.4,150,61,0,Collapsed_Building
120,"Trapped under collapsed building, need urgent rescue",Medium,46.8,166,22,0,Collapsed_Building
121,"Trapped under collapsed building, need urgent rescue",High,27.8,147,57,0,Collapsed_Building
122,"Trapped under collapsed building, need urgent rescue",Low,31.3,29,76,0,Collapsed_Building
123,"Trapped under collapsed building, need urgent rescue",Medium,36.6,11,80,0,Collapsed_Building
124,"Trapped under collapsed building, need urgent rescue",Medium,26.3,132,12,0,Collapsed_Building
125,"Trapped under collapsed building, need urgent rescue",High,21.9,73,84,0,Collapsed_Building
126,"Trapped under collapsed building, need urgent rescue",Low,37.5,127,68,0,Collapsed_Building
127,"Trapped under collapsed building, need urgent rescue",Medium,20.4,28,37,0,Collapsed_Building
128,"Trapped under collapsed building, need urgent rescue",Medium,30.5,105,13,0,Collapsed_Building
129,"Trapped under collapsed building, need urgent rescue",Medium,33.8,110,47,0,Collapsed_Building
130,"Trapped under collapsed building, need urgent rescue",High,31.7,13,42,0,Collapsed_Building
131,"Trapped under collapsed building, need urgent rescue",High,20.9,121,89,0,Collapsed_Building
132,"Trapped under collapsed building, need urgent rescue",Low,23.2,58,54,0,Collapsed_Building
133,"Trapped under collapsed building, need urgent rescue",Medium,39.8,77,83,0,Collapsed_Building
134,"Trapped under collapsed building, need urgent rescue",High,45.2,146,25,0,Collapsed_Building
135,"Trapped under collapsed building, need urgent rescue",High,23.4,178,88,0,Collapsed_Building
136,"Trapped under collapsed building, need urgent rescue",Low,31.6,181,44,0,Collapsed_Building
137,"Trapped under collapsed building, need urgent rescue",High,48.9,36,16,0,Collapsed_Building
138,"Trapped under collapsed building, need urgent rescue",High,45.7,102,66,0,Collapsed_Building
139,"Trapped under collapsed building, need urgent rescue",Low,24.5,31,33,0,Collapsed_Building
140,"Trapped under collapsed building, need urgent rescue",High,29.4,27,82,0,Collapsed_Building
141,"Trapped under collapsed building, need urgent rescue",Medium,42.8,175,26,0,Collapsed_Building
142,"Trapped under collapsed building, need urgent rescue",Medium,38.0,42,49,0,Collapsed_Building
143,"Trapped under collapsed building, need urgent rescue",Medium,20.0,178,34,0,Collapsed_Building
144,"Trapped under collapsed building, need urgent rescue",Medium,35.4,199,10,0,Collapsed_Building
145,"Trapped under collapsed building, need urgent rescue",High,34.3,173,55,0,Collapsed_Building
146,"Trapped under collapsed building, need urgent rescue",High,38.3,35,61,0,Collapsed_Building
147,"Trapped under collapsed building, need urgent rescue",High,25.2,51,33,0,Collapsed_Building
148,"Trapped under collapsed building, need urgent rescue",Medium,26.6,110,46,0,Collapsed_Building
149,"Trapped under collapsed building, need urgent rescue",High,36.5,10,55,0,Collapsed_Building
150,"Trapped under collapsed building, need urgent rescue",High,24.6,148,21,0,Collapsed_Building
151,"Trapped under collapsed building, need urgent rescue",Medium,47.9,155,26,0,Collapsed_Building
152,"Trapped under collapsed building, need urgent rescue",High,46.0,112,44,0,Collapsed_Building
153,"Trapped under collapsed building, need urgent rescue",Low,26.6,92,57,0,Collapsed_Building
154,"Trapped under collapsed building, need urgent rescue",High,27.0,93,18,0,Collapsed_Building
155,"Trapped under collapsed building, need urgent rescue",Medium,28.3,96,89,0,Collapsed_Building
156,"Trapped under collapsed building, need urgent rescue",High,48.6,105,94,0,Collapsed_Building
157,"Trapped under collapsed building, need urgent rescue",High,27.8,121,20,0,Collapsed_Building
158,"Trapped under collapsed building, need urgent rescue",Low,31.0,183,64,0,Collapsed_Building
159,"Trapped under collapsed building, need urgent rescue",Medium,20.7,97,66,0,Collapsed_Building
160,"Trapped under collapsed building, need urgent rescue",Low,28.1,90,88,0,Collapsed_Building
161,"Trapped under collapsed building, need urgent rescue",High,28.1,121,68,0,Collapsed_Building
162,"Trapped under collapsed building, need urgent rescue",Low,40.3,25,69,0,Collapsed_Building
163,"Trapped under collapsed building, need urgent rescue",Low,40.5,84,75,0,Collapsed_Building
164,"Trapped under collapsed building, need urgent rescue",High,30.1,102,28,0,Collapsed_Building
165,"Trapped under collapsed building, need urgent rescue",Medium,48.3,169,61,0,Collapsed_Building
166,"Trapped under collapsed building, need urgent rescue",High,47.3,21,24,0,Collapsed_Building
167,"Trapped under collapsed building, need urgent rescue",Medium,47.1,130,12,0,Collapsed_Building
168,"Trapped under collapsed building, need urgent rescue",High,29.6,6,73,0,Collapsed_Building
169,"Trapped under collapsed building, need urgent rescue",High,40.3,169,89,0,Collapsed_Building
170,"Trapped under collapsed building, need urgent rescue",Low,34.2,178,71,0,Collapsed_Building
171,"Trapped under collapsed building, need urgent rescue",High,41.8,181,77,0,Collapsed_Building
172,"Trapped under collapsed building, need urgent rescue",Medium,48.5,94,12,0,Collapsed_Building
173,"Trapped under collapsed building, need urgent rescue",Medium,39.5,192,68,0,Collapsed_Building
174,"Trapped under collapsed building, need urgent rescue",Medium,30.5,181,60,0,Collapsed_Building
175,"Trapped under collapsed building, need urgent rescue",High,33.0,26,92,0,Collapsed_Building
176,"Trapped under collapsed building, need urgent rescue",Medium,33.6,96,55,0,Collapsed_Building
177,"Trapped under collapsed building, need urgent rescue",High,40.5,180,30,0,Collapsed_Building
178,"Trapped under collapsed building, need urgent rescue",Medium,48.9,182,16,0,Collapsed_Building
179,"Trapped under collapsed building, need urgent rescue",Low,40.3,99,50,0,Collapsed_Building
180,"Trapped under collapsed building, need urgent rescue",High,38.2,58,14,0,Collapsed_Building
181,"Trapped under collapsed building, need urgent rescue",Medium,40.7,54,50,0,Collapsed_Building
182,"Trapped under collapsed building, need urgent rescue",Low,49.6,197,58,0,Collapsed_Building
183,"Trapped under collapsed building, need urgent rescue",Medium,40.2,37,89,0,Collapsed_Building
184,"Trapped under collapsed building, need urgent rescue",High,43.4,30,19,0,Collapsed_Building
185,"Trapped under collapsed building, need urgent rescue",High,35.0,97,78,0,Collapsed_Building
186,"Trapped under collapsed building, need urgent rescue",High,21.4,184,44,0,Collapsed_Building
187,"Trapped under collapsed building, need urgent rescue",Medium,31.3,5,45,0,Collapsed_Building
188,"Trapped under collapsed building, need urgent rescue",High,43.6,96,30,0,Collapsed_Building
189,"Trapped under collapsed building, need urgent rescue",High,43.4,157,90,0,Collapsed_Building
190,"Trapped under collapsed building, need urgent rescue",High,44.8,200,17,0,Collapsed_Building
191,"Trapped under collapsed building, need urgent rescue",Medium,41.5,9,39,0,Collapsed_Building
192,"Trapped under collapsed building, need urgent rescue",High,27.0,22,32,0,Collapsed_Building
193,"Trapped under collapsed building, need urgent rescue",Low,25.8,164,56,0,Collapsed_Building
194,"Trapped under collapsed building, need urgent rescue",Low,31.2,137,81,0,Collapsed_Building
195,"Trapped under collapsed building, need urgent rescue",High,34.0,48,93,0,Collapsed_Building
196,"Trapped under collapsed building, need urgent rescue",High,34.4,12,40,0,Collapsed_Building
197,"Trapped under collapsed building, need urgent rescue",Low,33.4,157,47,0,Collapsed_Building
198,"Trapped under collapsed building, need urgent rescue",High,39.1,20,71,0,Collapsed_Building
199,"Trapped under collapsed building, need urgent rescue",Medium,29.6,61,35,0,Collapsed_Building
200,"Trapped under collapsed building, need urgent rescue",Medium,49.5,96,95,0,Collapsed_Building
201,"Trapped under collapsed building, need urgent rescue",Medium,27.6,48,62,0,Collapsed_Building
202,"Trapped under collapsed building, need urgent rescue",Low,33.5,151,59,0,Collapsed_Building
203,"Trapped under collapsed building, need urgent rescue",High,38.0,174,38,0,Collapsed_Building
204,"Trapped under collapsed building, need urgent rescue",High,46.2,23,16,0,Collapsed_Building
205,"Trapped under collapsed building, need urgent rescue",High,34.4,65,87,0,Collapsed_Building
206,"Trapped under collapsed building, need urgent rescue",Medium,37.1,43,91,0,Collapsed_Building
207,"Trapped under collapsed building, need urgent rescue",Low,28.5,150,54,0,Collapsed_Building
208,"Trapped under collapsed building, need urgent rescue",Medium,46.0,145,68,0,Collapsed_Building
209,"Trapped under collapsed building, need urgent rescue",Medium,47.0,187,49,0,Collapsed_Building
210,"Trapped under collapsed building, need urgent rescue",Medium,37.4,177,82,0,Collapsed_Building
211,"Trapped under collapsed building, need urgent rescue",Medium,32.8,8,59,0,Collapsed_Building
212,"Trapped under collapsed building, need urgent rescue",High,45.4,47,38,0,Collapsed_Building
213,"Trapped under collapsed building, need urgent rescue",High,28.6,54,85,0,Collapsed_Building
214,"Trapped under collapsed building, need urgent rescue",High,29.8,74,67,0,Collapsed_Building
215,"Trapped under collapsed building, need urgent rescue",High,30.4,62,39,0,Collapsed_Building
216,"Trapped under collapsed building, need urgent rescue",Medium,30.9,16,15,0,Collapsed_Building
217,"Trapped under collapsed building, need urgent rescue",Medium,26.5,138,17,0,Collapsed_Building
218,"Trapped under collapsed building, need urgent rescue",High,33.5,195,79,0,Collapsed_Building
219,"Trapped under collapsed building, need urgent rescue",Low,31.6,52,29,0,Collapsed_Building
220,"Trapped under collapsed building, need urgent rescue",Medium,24.4,175,15,0,Collapsed_Building
221,"Trapped under collapsed building, need urgent rescue",High,40.3,81,85,0,Collapsed_Building
222,"Trapped under collapsed building, need urgent rescue",Low,23.3,187,15,0,Collapsed_Building
223,"Trapped under collapsed building, need urgent rescue",High,46.0,71,45,0,Collapsed_Building
224,"Trapped under collapsed building, need urgent rescue",High,33.4,180,28,0,Collapsed_Building
225,"Trapped under collapsed building, need urgent rescue",Low,33.0,103,13,0,Collapsed_Building
226,"Trapped under collapsed building, need urgent rescue",Medium,34.8,3,18,0,Collapsed_Building
227,"Trapped under collapsed building, need urgent rescue",Low,42.0,197,63,0,Collapsed_Building
228,"Trapped under collapsed building, need urgent rescue",Medium,22.0,193,92,0,Collapsed_Building
229,"Trapped under collapsed building, need urgent rescue",Medium,44.3,44,79,0,Collapsed_Building
230,"Trapped under collapsed building, need urgent rescue",High,27.6,164,19,0,Collapsed_Building
231,"Trapped under collapsed building, need urgent rescue",Medium,30.9,101,70,0,Collapsed_Building
232,"Trapped under collapsed building, need urgent rescue",High,33.9,107,76,0,Collapsed_Building
233,"Trapped under collapsed building, need urgent rescue",Low,30.7,42,31,0,Collapsed_Building
234,"Trapped under collapsed building, need urgent rescue",Low,38.5,176,86,0,Collapsed_Building
235,"Trapped under collapsed building, need urgent rescue",High,40.6,37,82,0,Collapsed_Building
236,"Trapped under collapsed building, need urgent rescue",High,43.1,159,68,0,Collapsed_Building
237,"Trapped under collapsed building, need urgent rescue",High,42.8,173,53,0,Collapsed_Building
238,"Trapped under collapsed building, need urgent rescue",High,46.7,3,12,0,Collapsed_Building
239,"Trapped under collapsed building, need urgent rescue",Low,49.1,71,71,0,Collapsed_Building
240,"Trapped under collapsed building, need urgent rescue",Medium,22.5,135,85,0,Collapsed_Building
241,"Trapped under collapsed building, need urgent rescue",Medium,49.1,41,62,0,Collapsed_Building
242,"Trapped under collapsed building, need urgent rescue",Low,37.3,150,43,0,Collapsed_Building
243,"Trapped under collapsed building, need urgent rescue",High,49.8,199,23,0,Collapsed_Building
244,"Trapped under collapsed building, need urgent rescue",High,35.2,104,33,0,Collapsed_Building
245,"Trapped under collapsed building, need urgent rescue",High,46.6,16,74,0,Collapsed_Building
246,"Trapped under collapsed building, need urgent rescue",Low,47.2,154,59,0,Collapsed_Building
247,"Trapped under collapsed building, need urgent rescue",Medium,29.9,150,81,0,Collapsed_Building
248,"Trapped under collapsed building, need urgent rescue",Low,21.6,73,79,0,Collapsed_Building
249,"Trapped under collapsed building, need urgent rescue",Low,24.4,99,48,0,Collapsed_Building
250,"Trapped under collapsed building, need urgent rescue",Medium,48.1,170,60,0,Collapsed_Building
251,"Trapped under collapsed building, need urgent rescue",Low,27.5,191,88,0,Collapsed_Building
252,"Trapped under collapsed building, need urgent rescue",Low,35.3,88,61,0,Collapsed_Building
253,"Trapped under collapsed building, need urgent rescue",High,24.3,31,71,0,Collapsed_Building
254,"Trapped under collapsed building, need urgent rescue",Low,22.3,80,76,0,Collapsed_Building
255,"Trapped under collapsed building, need urgent rescue",High,47.7,72,19,0,Collapsed_Building
256,"Trapped under collapsed building, need urgent rescue",High,29.5,15,79,0,Collapsed_Building
257,"Trapped under collapsed building, need urgent rescue",Medium,48.2,74,80,0,Collapsed_Building
258,"Trapped under collapsed building, need urgent rescue",High,27.6,4,65,0,Collapsed_Building
259,"Trapped under collapsed building, need urgent rescue",Medium,49.4,121,51,0,Collapsed_Building
260,"Trapped under collapsed building, need urgent rescue",High,47.6,28,38,0,Collapsed_Building
261,"Trapped under collapsed building, need urgent rescue",Low,33.8,66,65,0,Collapsed_Building
262,"Trapped under collapsed building, need urgent rescue",High,37.0,31,73,0,Collapsed_Building
263,"Trapped under collapsed building, need urgent rescue",Low,48.8,139,84,0,Collapsed_Building
264,"Trapped under collapsed building, need urgent rescue",Low,42.8,137,26,0,Collapsed_Building
265,"Trapped under collapsed building, need urgent rescue",Low,39.5,103,82,0,Collapsed_Building
266,"Trapped under collapsed building, need urgent rescue",High,39.7,129,91,0,Collapsed_Building
267,"Trapped under collapsed building, need urgent rescue",High,38.9,200,44,0,Collapsed_Building
268,"Trapped under collapsed building, need urgent rescue",Low,46.0,189,24,0,Collapsed_Building
269,"Trapped under collapsed building, need urgent rescue",High,27.9,67,76,0,Collapsed_Building
270,"Trapped under collapsed building, need urgent rescue",High,26.1,156,47,0,Collapsed_Building
271,"Trapped under collapsed building, need urgent rescue",Low,22.7,8,26,0,Collapsed_Building
272,"Trapped under collapsed building, need urgent rescue",Low,39.3,77,41,0,Collapsed_Building
273,"Trapped under collapsed building, need urgent rescue",High,28.3,152,92,0,Collapsed_Building
274,"Trapped under collapsed building, need urgent rescue",Medium,22.6,159,79,0,Collapsed_Building
275,"Trapped under collapsed building, need urgent rescue",Medium,44.3,63,17,0,Collapsed_Building
276,"Trapped under collapsed building, need urgent rescue",High,26.7,26,41,0,Collapsed_Building
277,"Trapped under collapsed building, need urgent rescue",High,42.4,58,55,0,Collapsed_Building
278,"Trapped under collapsed building, need urgent rescue",Low,39.5,29,45,0,Collapsed_Building
279,"Trapped under collapsed building, need urgent rescue",High,48.7,170,23,0,Collapsed_Building
280,"Trapped under collapsed building, need urgent rescue",High,34.5,99,65,0,Collapsed_Building
281,"Trapped under collapsed building, need urgent rescue",High,36.4,161,71,0,Collapsed_Building
282,"Trapped under collapsed building, need urgent rescue",Medium,44.6,138,91,0,Collapsed_Building
283,"Trapped under collapsed building, need urgent rescue",High,48.9,25,54,0,Collapsed_Building
284,"Trapped under collapsed building, need urgent rescue",Medium,45.5,152,68,0,Collapsed_Building
285,"Trapped under collapsed building, need urgent rescue",Low,23.6,151,33,0,Collapsed_Building
286,"Trapped under collapsed building, need urgent rescue",Medium,44.2,171,52,0,Collapsed_Building
287,"Trapped under collapsed building, need urgent rescue",Medium,40.0,159,93,0,Collapsed_Building
288,"Trapped under collapsed building, need urgent rescue",High,43.0,143,65,0,Collapsed_Building
289,"Trapped under collapsed building, need urgent rescue",High,30.1,9,13,0,Collapsed_Building
290,"Trapped under collapsed building, need urgent rescue",Medium,40.7,36,57,0,Collapsed_Building
291,"Trapped under collapsed building, need urgent rescue",High,31.0,173,63,0,Collapsed_Building
292,"Trapped under collapsed building, need urgent rescue",High,47.8,116,38,0,Collapsed_Building
293,"Trapped under collapsed building, need urgent rescue",Medium,23.3,183,65,0,Collapsed_Building
294,"Trapped under collapsed building, need urgent rescue",High,43.6,10,51,0,Collapsed_Building
295,"Trapped under collapsed building, need urgent rescue",Medium,45.4,126,26,0,Collapsed_Building
296,"Trapped under collapsed building, need urgent rescue",Low,27.4,143,10,0,Collapsed_Building
297,"Trapped under collapsed building, need urgent rescue",High,35.4,123,32,0,Collapsed_Building
298,"Trapped under collapsed building, need urgent rescue",Medium,27.5,156,32,0,Collapsed_Building
299,"Trapped under collapsed building, need urgent rescue",High,27.2,68,31,0,Collapsed_Building
300,"Trapped under collapsed building, need urgent rescue",Low,37.3,124,57,0,Collapsed_Building
301,"Trapped under collapsed building, need urgent rescue",High,23.6,105,20,0,Collapsed_Building
302,"Trapped under collapsed building, need urgent rescue",High,47.7,14,89,0,Collapsed_Building
303,"Trapped under collapsed building, need urgent rescue",High,47.8,69,90,0,Collapsed_Building
304,"Trapped under collapsed building, need urgent rescue",Medium,31.0,136,22,0,Collapsed_Building
305,"Trapped under collapsed building, need urgent rescue",High,48.3,57,72,0,Collapsed_Building
306,"Trapped under collapsed building, need urgent rescue",Low,48.4,164,30,0,Collapsed_Building
307,"Trapped under collapsed building, need urgent rescue",Medium,34.8,56,16,0,Collapsed_Building
308,"Trapped under collapsed building, need urgent rescue",Low,44.2,81,30,0,Collapsed_Building
309,"Trapped under collapsed building, need urgent rescue",Low,39.3,88,67,0,Collapsed_Building
310,"Trapped under collapsed building, need urgent rescue",High,31.9,192,43,0,Collapsed_Building
311,"Trapped under collapsed building, need urgent rescue",High,33.4,113,29,0,Collapsed_Building
312,"Trapped under collapsed building, need urgent rescue",Low,29.7,65,81,0,Collapsed_Building
313,"Trapped under collapsed building, need urgent rescue",Low,42.0,125,95,0,Collapsed_Building
314,"Trapped under collapsed building, need urgent rescue",High,39.9,114,40,0,Collapsed_Building
315,"Trapped under collapsed building, need urgent rescue",High,35.8,190,11,0,Collapsed_Building
316,"Trapped under collapsed building, need urgent rescue",Medium,38.8,37,23,0,Collapsed_Building
